Adres,Data wywozu,Rodzaj wywozu
Agrestowa,"7, 21 październik; 4, 18 listopad; 2, 16, 30 grudzień 2024",Zmieszane (pozostałości po segregacji)
Chabrowa,"10, 24 październik; 7, 21 listopad; 5, 19 grudzień 2024",Zmieszane (pozostałości po segregacji)
Dziedziniec,"1, 15, 29 październik; 12, 26 listopad; 10, 24 grudzień 2024",Zmieszane (pozostałości po segregacji)
Filtrowa,4 październik; 2 listopad; 6 grudzień 2024,Zmieszane (pozostałości po segregacji)
Górna,2 październik; 6 listopad; 4 grudzień 2024,Zmieszane (pozostałości po segregacji)
Graniczna,8 październik; 5 listopad; 3 grudzień 2024,Zmieszane (pozostałości po segregacji)
Imielnicka,"7, 21 październik; 4, 18 listopad; 2, 16, 30 grudzień 2024",Zmieszane (pozostałości po segregacji)
Kalinowa,"10, 24 październik; 7, 21 listopad; 5, 19 grudzień 2024",Zmieszane (pozostałości po segregacji)
Malinowa,"1, 15, 29 październik; 12, 26 listopad; 10, 24 grudzień 2024",Zmieszane (pozostałości po segregacji)
Modrzewiowa,4 październik; 2 listopad; 6 grudzień 2024,Zmieszane (pozostałości po segregacji)
Obejście,2 październik; 6 listopad; 4 grudzień 2024,Zmieszane (pozostałości po segregacji)
Ośnicka,8 październik; 5 listopad; 3 grudzień 2024,Zmieszane (pozostałości po segregacji)
Paśniki,"7, 21 październik; 4, 18 listopad; 2, 16, 30 grudzień 2024",Zmieszane (pozostałości po segregacji)
Różana,"10, 24 październik; 7, 21 listopad; 5, 19 grudzień 2024",Zmieszane (pozostałości po segregacji)
Rzeczna,"1, 15, 29 październik; 12, 26 listopad; 10, 24 grudzień 2024",Zmieszane (pozostałości po segregacji)
Studzienna,4 październik; 2 listopad; 6 grudzień 2024,Zmieszane (pozostałości po segregacji)
Wodna,2 październik; 6 listopad; 4 grudzień 2024,Zmieszane (pozostałości po segregacji)
Wyszogrodzka (numery parzyste),8 październik; 5 listopad; 3 grudzień 2024,Zmieszane (pozostałości po segregacji)
Źródlana,"7, 21 październik; 4, 18 listopad; 2, 16, 30 grudzień 2024",Zmieszane (pozostałości po segregacji)
Agrestowa,"10, 24 październik; 7, 21 listopad; 5, 19 grudzień 2024",Bio
Chabrowa,"1, 15, 29 październik; 12, 26 listopad; 10, 24 grudzień 2024",Bio
Dziedziniec,4 październik; 2 listopad; 6 grudzień 2024,Bio
Filtrowa,2 październik; 6 listopad; 4 grudzień 2024,Bio
Górna,8 październik; 5 listopad; 3 grudzień 2024,Bio
Graniczna,"7, 21 październik; 4, 18 listopad; 2, 16, 30 grudzień 2024",Bio
Imielnicka,"10, 24 październik; 7, 21 listopad; 5, 19 grudzień 2024",Bio
Kalinowa,"1, 15, 29 październik; 12, 26 listopad; 10, 24 grudzień 2024",Bio
